Reporting ID,Data Year,MapLot,BEUDO Category,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2)
B1409,2016,57-169,Non-Residential,College/University,College/University (183162.0),183162,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,3654207.1,12468156,6957,695700.1,,,,,,,15228059.5,13673686.8,,42065602.4,,229.7,,65948863.2,,360.1,,2681.7,14.6
B1410,2016,67-44,Non-Residential,College/University,College/University (362687.0),362687,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,2976310.1,10155171.4,123812,12381201.7,,,,,,,,,,22536373.1,,62.1,,41434741.8,,114.2,,1418.6,3.9
B1411,2016,68-56,Non-Residential,College/University,College/University (50148.0),50148,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,704440,2403549.4,33566,3356599.9,,,,,,,,,,5760149.4,,114.9,,10254368.4,,204.5,,358.4,7.1
B1412,2016,68-58,Non-Residential,College/University,College/University (50118.0),50118,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,914049.9,3118738.7,27477,2747700,,,,,,,,,,5866438.7,,117.1,,11617553.4,,231.8,,379.7,7.6
B1413,2016,68-59,Non-Residential,College/University,"Office (0.0),College/University (48000.0)",48000,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,445440,1519841.4,3055,305500,,,,,,,,,,1825341.4,,38,,4576330.8,,95.3,,130.1,2.7
B1414,2016,63-134,Non-Residential,Hotel,Hotel (347000.0),347000,,Hmc Cambridge LLC,C/O Host Hotels And Resorts,68,5249027.4,17909683.5,225671.0029,22567100.3,,,,,,,,,,40476783.8,41165982.2,81.5,82.9,79931861.6,80378839,161,161.9,0,0
B1415,2016,"47-94, 47-84",Non-Residential,Laboratory,"Office (79965.0),Laboratory (N/A)",424430,,MIT 238 MAIN STREET FEE OWNER LLC,,45,1950271.4,6654326.7,1070.4751,107047.5,,,,,,,,,,6761374.2,6850823,68.1,69,18744514.6,18992019.8,188.7,191.2,0,4.8
B1419,2016,31-Oct,Non-Residential,Office,Office (N/A),61565,,BENT ASSOCIATES LIMITED PARTNERSHIP,"FIRST STREET-US, LLC",,,,,,,,,,,,,,,,,,,,,,,0,
B1420,2016,7-115,Non-Residential,Hotel,"Hotel (57035.0),Parking (14500.0)",57035,,"MONSIGNOR HOTEL, LLC",,86,638471.9,2178466.5,10421,1042104.8,,,,,,,,,,3220571.3,3243341.3,56.5,56.9,7193916.2,7222948.3,126.1,126.6,218.6,3.8
B1422,2016,14-1038,Non-Residential,Laboratory,Laboratory (68577.0),68577,,"TP/P KENDALL SQUARE, LLC.",,,1664171.9,5678155.3,44056.7,4405674,,,,,,,,,,10083829.4,10311370.3,147,150.4,20524792.7,20763710.7,299.3,302.8,659.5,9.6
B1423,2016,14-44,Non-Residential,Laboratory,Laboratory (311279.0),311279,,"BMR-675 WEST KENDALL STREET LLC,",C/O RYAN LLC,,10323553.9,35223970.3,2294.73,229473,,,,,,,,48273344.2,,83726787.5,85253159.3,269,273.9,156942880.3,158113604.5,504.2,507.9,0,0
B1424,2016,31-13,Non-Residential,Laboratory,"Laboratory (447187.0),Parking (180000.0)",447187,,"MBA-ROGERS STREET, LLC",C/O RYAN LLC,,9517489.5,32473678.2,478151.4143,47815141.4,,,,,,,,,,80288819.7,81823347.5,179.5,183,141132197.6,142533366.1,315.6,318.7,0,0
B1425,2016,69-179,Non-Residential,Laboratory,"Office (60727.0),Laboratory (141696.0)",202423,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,13246238.2,45196170.1,676856,67685602.3,,,,,,,,,,112881772.4,114426990.3,557.7,565.3,197619158.7,198050966.4,976.3,978.4,6982,34.5
B1429,2016,128-70,Non-Residential,Office,"Office (60017.0),Data Center (983.0)",61000,,"BHX, LLC. TRUSTEE OF 784 REALTY TRUST.",,44,1662762.2,5673345.4,7223.2,722319.4,,,,,,,,,,6395664.8,6765493.4,104.8,110.9,16643802.5,17133065.6,272.8,280.9,463.5,7.6
B1430,2016,107-136,Non-Residential,Office,Office (42230.0),42230,,U.S. REIF CENTRAL PLAZA MASS. LLC.,,52,522991.9,1784448.7,18078,1807799.8,,,,,,,,,,3592248.5,3700864.6,85.1,87.6,6894646.2,6992271,163.3,165.6,229.7,5.4
B1431,2016,168-22,Non-Residential,Office,Office (46085.0),46085,,MOUNT STORY LIMITED PARTNERSHIP,,19,1508223.4,5146059,1.7,170.6,,,,,,,,,,5146229.6,5188197.8,111.7,112.6,14409144.4,14526655.3,312.7,315.2,385.6,8.4
B1433,2016,69-182,Non-Residential,Laboratory,Laboratory (124986.0),124986,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1435,2016,107-136,Non-Residential,Office,"Office (107066.0),Parking (0.0)",107066,,U.S. REIF CENTRAL PLAZA MASS. LLC.,,52,1945880.7,6639345.8,48985,4898500.2,,,,,,,,,,11537845.9,11980306,107.8,111.9,23733593.3,24123269.4,221.7,225.3,757.7,7.1
B1436,2016,"267.2-267, 267.2-230",Non-Residential,Office,"Office (199472.0),Data Center (2028.0)",201500,,"BHX, LLC.",,83,4113304.4,14034596.4,,,,,,,,,,,,14034596.4,14080957.9,69.5,69.8,44068632.6,44214207.8,218.3,219,0,0
B1437,2016,43-71,Non-Residential,Hotel,Hotel (150000.0),150000,,"Rlj Cambridge Hotel, LLC","C/O Rlj Cambridge Hotel, LLC",62,2026285.5,6913686.9,89647.1776,8964717.8,,,,,,,,,,15878404.7,16105226.2,84.7,85.9,31121930.5,31122127.5,166,166,0,0
B1438,2016,242B-56,Non-Residential,K-12 School,K-12 School (106070.0),106070,,BUCKINGHAM BROWNE AND NICHOLS SCHOOL,,99,902320.9,3078719.1,41146.2,4114621.7,,,,,,,,,,4114621.7,4380711,38.8,41.3,4320352.8,4599746.6,40.7,43.4,218.5,2.1
B1439,2016,226-59,Non-Residential,K-12 School,K-12 School (31615.0),31615,,BUCKINGHAM BROWNE AND NICHOLS SCHOOL,,64,185927.7,634385.4,11088.8821,1108888.2,,,,,,,,,,1743273.7,1816583.2,55.1,57.5,2940611.9,3017586.9,93,95.4,0,0
B1448,2016,43-77,Non-Residential,Laboratory,"Office (56699.0),Laboratory (137000.0),Fast Food Restaurant (5496.0),Other (31833.0)",231028,,MIT 415 MAIN STREET FEE OWNER LLC,C/O MIT INVESTMENT MGMT CO,,12283331.8,41910733.2,604806,60480596,,,,,,,,,,102391329.2,,443.2,,180854678.7,,782.8,,6353.1,27.5
B1449,2016,39-179,Non-Residential,Movie Theater,Movie Theater (25800.0),25800,,"ARE-MA REGION NO. 58, LLC",,,547389.4,1867692.7,,,,,,,,,,,,2018702.4,,78.2,,5388099.8,,208.8,,148,5.7
B1451,2016,80-175,Non-Residential,Office,"Office (26729.0),Parking (6050.0)",26729,,VINFEN CORPORATION,,75,354695,1210219.4,3869,386900,,,,,,,,,,1597119.4,1645598.2,59.8,61.6,3794859.2,3877984.8,142,145.1,111.2,4.2
B1452,2016,265D-53,Non-Residential,Laboratory,Office (224252.0),224252,,FAEC 35 CPD LLC,,,9719.5,33162.9,15237,1523700,,,,,,,,,,1556862.9,,6.9,,1692741.1,,7.5,,83.4,0.4
B1454,2016,267D-285,Non-Residential,Medical Office,"Medical Office (85226.0),Parking (8000.0)",85226,,"DMP BURLINGTON CONCORD, LLC &","DMP CAUSCA, LLC,",65,1817616.7,6201709.1,4243.8,424377.4,,,,,,,,,,6626086.5,,77.7,,17810381.8,,209,,487.3,5.7
B1457,2016,267.4-307,Non-Residential,Laboratory,"Data Center (1000.0),Laboratory (74688.0),Parking (10000.0)",75688,,"QUAD 10 WILSON ROAD, LLC",,,2060140.4,7029200,0,0,,,,,,,,,,0,,0,,0,,0,,0,0
B1458,2016,"267.4-322, 267.4-291",Non-Residential,Office,Office (67362.0),67362,,King 87 Cpd LLC,"C/O Cpi/King 87 Cpd Owner, LLC",20,3095170.5,10560723,155719.7,15571971.5,,,,,,,,,,15571971.5,16061596.8,231.2,238.4,16350570.1,16864676.6,242.7,250.4,827.1,12.3
B1459,2016,160-69,Non-Residential,Mixed Use Property,"Restaurant (8269.0),Office (11748.0),Fast Food Restaurant (6055.0),Retail Store (13168.0)",39240,,"1834 Realty, Inc.",C/O Cambridge Savings Bank,,914002.8,3118578,40915.8,4091575,,,,,,,,,,7210153.1,7314757.9,183.7,186.4,13028172.3,13103334.9,332,333.9,451,11.5
B1460,2016,91-87,Non-Residential,Office,Office (39961.0),39961,,"JUSTMASS LLC,",C/O LINCOLN PROPERTY CO.,80,,,39613.2,3961322.9,,,,,,,,,,3961322.9,4266833.7,99.1,106.8,4159389,4480175.4,104.1,112.1,210.4,5.3
B1461,2016,269.5-101,Non-Residential,,,,,MASSACHUSETTS BAY TRANSPORTATION,,,,,,,,,,,,,,,,,,,,,,,,,
B1465,2016,265B-34,Non-Residential,Laboratory,Laboratory (28054.0),28054,,"ALEWIFE PROPERTIES LLC,",,,,,,,,,,,,,,,,,,,,,,,,0,0
B1467,2016,121-94,Non-Residential,Office,"Office (77805.0),Parking (80000.0)",77805,,"VTR LS 1030 MASS AVE., LLC",,,,,,,,,,,,,,,,,,,,,,,,0,0
B1468,2016,70-34,Non-Residential,College/University,College/University (103874.0),103874,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,1277850.4,4360026.2,96585,9658498.4,,,,,,,,,,14018524.7,,135,,22349496.8,,215.2,,839.7,8.1
B1469,2016,52A-21,Non-Residential,College/University,College/University (39121.0),39121,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,646296,2205162.1,1425,142500,,,,,,,,3710950.9,,6058613,,154.9,,10788505.2,,275.8,,419.2,10.7
B1470,2016,52A-21,Non-Residential,College/University,College/University (143682.0),143682,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,3793485.5,12943374.1,84,8400,,,,,,,24333550.3,44459776.8,,81745101.1,,568.9,,111880736.7,,778.7,,5204.8,36.2
B1471,2016,52A-21,Non-Residential,College/University,College/University (77686.0),77686,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1561193.6,5326793.3,,,,,,,,,4905443.1,2022636,,12254872.4,,157.7,,21812288.7,,280.8,,792,10.2
B1473,2016,52A-21,Non-Residential,College/University,College/University (145819.0),145819,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,4775088.4,16292603.5,14,1400,,,,,,,24503531.6,11852836.8,,52650371.9,,361.1,,82178423.2,,563.6,,3299.4,22.6
B1474,2016,48-129,Non-Residential,College/University,College/University (120331.0),120331,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1666282.4,5685356.2,,,,,,,,,696708.1,6602819.3,,12984883.6,,107.9,,24496464.6,,203.6,,901.2,7.5
B1476,2016,52A-21,Non-Residential,College/University,College/University (464005.0),464005,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,7353699.6,25090826.2,6272,627199.9,,,,,,,28220722.8,25046536.6,,78985285.5,,170.2,,126725743.9,,273.1,,5063.9,10.9
B1477,2016,52A-21,Non-Residential,College/University,College/University (75808.0),75808,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,7867402.9,26843581.9,41,4100,,,,,,,9892273.6,13401456,,50141411.5,,661.4,,100290805.7,,1323,,3423,45.2
B1478,2016,55-9,Non-Residential,College/University,College/University (61937.0),61937,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,766,76600,,,,,,,17696026.8,2013084.2,,19785711,,319.4,,18605637.4,,300.4,,1070.3,17.3
B1479,2016,47-90,Non-Residential,College/University,College/University (405034.0),405034,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2236519.3,7631004.8,5806,580600.1,,,,,,,4011396.6,8409340.4,,20632342,,50.9,,35743596.7,,88.2,,1372.5,3.4
B1480,2016,47-83,Non-Residential,College/University,College/University (107991.0),107991,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1009827.9,3445533.2,93,9300,,,,,,,5089969.3,9671399.9,,18216202.4,,168.7,,25924221.5,,240.1,,1169.1,10.8
B1481,2016,52A-22,Non-Residential,College/University,College/University (367689.0),367689,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,9730126,33199193.9,0,0,,,,,,,50565754.8,61431306.6,,145196255.3,,394.9,,212876966.1,,579,,9231.7,25.1
B1482,2016,52A-22,Non-Residential,College/University,College/University (260390.0),260390,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,9917564.7,33838735,6582,658200.1,,,,,,,30394030.8,57458852.4,,122349818.3,,469.9,,192223496.8,,738.2,,7987.7,30.7
B1483,2016,52A-31,Non-Residential,College/University,College/University (418663.0),418663,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,13707181,46768907.4,62,6200,,,,,,,52251441,98764111.8,,197790660.2,,472.4,,297325547.3,,710.2,,12816.5,30.6
B1484,2016,"55-26, 55-20, 55-7",Non-Residential,College/University,College/University (120137.0),120137,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,4778564.9,16304465.5,68161,6816098.5,,,,,,,8004610.3,,,31125174.4,,259.1,,60093602.3,,500.2,,2005.7,16.7
B1485,2016,55-9,Non-Residential,College/University,College/University (16137.0),16137,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,0,0,,,,,,,,,14660821.7,530136,,15190957.7,,941.4,,13979123.2,,866.3,,807.8,50.1
B1486,2016,48-129,Non-Residential,College/University,College/University (112799.0),112799,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2275353.7,7763507.8,91,9100,,,,,,,6863748.1,15939900.2,,30576256.1,,271.1,,47169742.7,,418.2,,2002.4,17.8
B1487,2016,52A-21,Non-Residential,College/University,College/University (121650.0),121650,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2720123,9281060.9,,,,,,,,,7295170.6,11405087,,27981318.5,,230,,46346364.2,,381,,1837.2,15.1
B1488,2016,52A-21,Non-Residential,College/University,College/University (84329.0),84329,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1222673.7,4171763.2,,,,,,,,,13526485.3,2420238,,20118486.4,,238.6,,26901684.2,,319,,1186.2,14.1
B1490,2016,52A-21,Non-Residential,College/University,College/University (26966.0),26966,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,496549,1694225.3,,,,,,,,,1026156,2557548,,5277929.4,,195.7,,8754468.3,,324.6,,350.9,13
B1491,2016,52A-21,Non-Residential,College/University,College/University (63579.0),63579,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,9071,30950.3,1860,186000,,,,,,,14035704.7,6030893.1,,20283548.1,,319,,20309864.2,,319.4,,1152.3,18.1
B1492,2016,47-90,Non-Residential,College/University,College/University (95445.0),95445,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,848399.9,2894740.8,30,3000,,,,,,,5155391.8,15101712.7,,23154845.3,,242.6,,30967811.9,,324.5,,1491.5,15.6
B1494,2016,47-90,Non-Residential,College/University,College/University (143950.0),143950,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,652106.9,2224989,5118,511800.1,,,,,,,7686179.3,13012211.3,,23435179.8,,162.8,,29416007.6,,204.3,,1463,10.2
B1495,2016,48-129,Non-Residential,College/University,College/University (156676.0),156676,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,4452301.5,15191254.6,60,6000,,,,,,,13063656.3,25844131.1,,54105041.9,,345.3,,85521291.8,,545.8,,3543.2,22.6
B1496,2016,48-129,Non-Residential,College/University,College/University (101813.0),101813,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1908129.8,6510539.8,61,6100,,,,,,,13063656.3,2651873.9,,22232169.9,,218.4,,33314156.8,,327.2,,1352.7,13.3
B1497,2016,52A-21,Non-Residential,College/University,College/University (133798.0),133798,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,3019649.8,10303046.4,74,7400,,,,,,,17235382.9,19591152.8,,47136982.1,,352.3,,68109460.3,,509,,2981.6,22.3
B1498,2016,52A-21,Non-Residential,College/University,College/University (129397.0),129397,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2416365.6,8244640.4,74,7400,,,,,,,6099840.2,13932785.5,,28284666.1,,218.6,,45405331.3,,350.9,,1864.8,14.4
B1499,2016,52A-31,Non-Residential,College/University,College/University (26079.0),26079,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,901295.9,3075222,0,0,,,,,,,17028300.1,2472774,,22576296.1,,865.7,,27081223.4,,1038.4,,1292,49.5
B1500,2016,52A-21,Non-Residential,College/University,College/University (102833.0),102833,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2045803.5,6980282.5,66,6600,,,,,,,8628241.4,20159495.9,,35774619.8,,347.9,,51656122.6,,502.3,,2316.7,22.5
B1501,2016,52A-21,Non-Residential,College/University,College/University (133552.0),133552,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,6896975.2,23532482.4,74,7400,,,,,,,24714625.8,31614732.3,,79869240.5,,598,,126422852.4,,946.6,,5165.5,38.7
B1502,2016,52A-21,Non-Residential,College/University,College/University (65896.0),65896,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1270628.1,4335383.5,1426,142600,,,,,,,5463805.4,6156262.7,,16098051.6,,244.3,,24667103.7,,374.3,,1029.2,15.6
B1503,2016,165-57,Non-Residential,Other - Restaurant/Bar,Other - Restaurant/Bar (20800.0),20800,,CONDUCTOR'S BUILDING LLC,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1504,2016,52A-21,Non-Residential,College/University,College/University (91926.0),91926,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1753804.9,5983982.9,1426,142600,,,,,,,6865069.3,8582473.1,,21574125.3,,234.7,,33477163,,364.2,,1387.7,15.1
B1505,2016,52A-21,Non-Residential,College/University,College/University (162565.0),162565,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,3154781.2,10764114.9,17960,1796000.1,,,,,,,1620876,15474238.4,,29655229.4,,182.4,,52116463.7,,320.6,,2014.9,12.4
B1506,2016,160-70,Non-Residential,Multifamily Housing,Multifamily Housing (27846.0),27846,15,"ALLIARA, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,0
B1508,2016,16-28,Non-Residential,Worship Facility,Worship Facility (35893.0),35893,,Corp. Of The Presiding Of The Church,Of Jesus Christ Of Latter-Day Saints,3,456749.8,1558430.3,10155.8836,1015588.4,,,,,,,,,,2574018.7,2634718.6,71.7,73.4,5959839.1,6023574,166,167.8,0,0
B1511,2016,"57-173, 57-171",Non-Residential,College/University,College/University (27388.0),27388,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,174923,596837.3,18377,1837699.9,,,,,,,,,,2434537.2,,88.9,,3600729.3,,131.5,,142.3,5.2
B1512,2016,52A-21,Non-Residential,College/University,College/University (119055.0),119055,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1594294.5,5439733.6,47,4700,,,,,,,4772449.7,11285686.9,,21502570.1,,180.6,,33156263.3,,278.5,,1408.8,11.8
B1513,2016,52A-21,Non-Residential,College/University,College/University (150587.0),150587,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,833448.9,2843728.1,2473,247300,,,,,,,,8471428.7,,11562456.8,,76.8,,18413580.6,,122.3,,788.7,5.2
B1514,2016,203B-52,Non-Residential,Office,Office (57500.0),57500,,"KERNOCHAN, JOHN A., TR. OF",BRICKYARD REALTY TRUST,,,,,,,,,,,,,,,,,,,,,,,0,0
B1515,2016,168-33,Non-Residential,Office,Office (30674.0),30674,,BRATTLE SQUARE ASSOCIATES,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1522,2016,52A-21,Non-Residential,College/University,College/University (1680.0),1680,,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,3154781.2,10764114.9,17960.0006,1796000.1,,,,,,,1620876,15474238.4,,29655229.4,,182.4,,55922141.6,,344,,0,0
B1523,2016,52A-21,Non-Residential,College/University,College/University (77154.0),77154,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1526,2016,52A-21,Non-Residential,College/University,College/University (116490.0),116490,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2959853,10099019.7,67,6700,,,,,,,16222368.1,30750276.9,,57078364.7,,490,,80040491.9,,687.1,,3653.8,31.4
B1527,2016,52A-21,Non-Residential,College/University,College/University (183169.0),183169,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,6312326.8,21537661.6,81,8100,,,,,,,24990205.5,34243918.9,,80779886,,441,,124251886.3,,678.3,,5205.2,28.4
B1528,2016,52A-21,Non-Residential,College/University,College/University (N/A),237777,,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,7867402.9,26843581.9,41,4100,,,,,,,9892273.6,13401456,,50141411.5,,661.4,,110307928.2,,1455.1,,0,48.9
B1533,2016,105-81,Non-Residential,Other - Mall,Other - Mall (N/A),3017,,CENTRAL PROPERTY LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,0,
B1534,2016,105-81,Non-Residential,Office,Office (15600.0),15600,,CENTRAL PROPERTY LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1535,2016,105-81,Non-Residential,Office,Office (N/A),14144,,CENTRAL PROPERTY LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,0,
B1536,2016,"223-45, 223-44",Non-Residential,Social/Meeting Hall,Social/Meeting Hall (2202.0),35910,,DIOCESE OF THE ARMENIAN CHURCH,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1537,2016,223-45,Non-Residential,Worship Facility,Worship Facility (35910.0),25432,,Diocese Of The Armenian Church,Of America,54,76560,261222.7,15158,1515800,,,,,,,,,,1777022.7,1879539.5,49.5,52.3,2323013.6,2430656.3,64.7,67.7,100.1,2.8
B1538,2016,196-163,Non-Residential,Worship Facility,Worship Facility (N/A),5000,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,,,,,,,,,,,,,,,,,,,,,,,0,
B1539,2016,147-41,Non-Residential,Other - Education,"Other - Education, Parking",51000,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,247280,843719.4,36783.7092,3678370.9,,,,,,,,,,4522090.3,4624615.4,88.7,90.7,6224703.8,6332355.2,122.1,124.2,254.5,5
B1540,2016,116-12,Non-Residential,Strip Mall,"Strip Mall (N/A),Parking (N/A)",38261,,"SIMON, RICHARD & WILLIAM C.KAPLAN,TRS. 997 MASS AVE NOMINEE TRST",C/O EASTPORT REAL ESTATE SERVICES,,,,,,,,,,,,,,,,,,,,,,,0,
B1541,2016,169-42,Non-Residential,Retail Store,Retail Store (52000.0),52000,,HARVARD COOPERATIVE SOCIETY,,59,794961,2712407.3,560.4,56040.7,,898932,,,,,,,,3667380,,70.5,,8561504.5,,164.6,,272.9,5.2
B1542,2016,169-93,Non-Residential,Retail Store,Retail Store (37047.0),37047,,HARVARD COOPERATIVE SOCIETY,"C/O THOMAS A. WAGNER, JR. CFO",66,487296,1662654.1,,,,1102068,,,,,,,,2764722.2,,74.6,,5768520.3,,155.7,,206.4,5.6
B1549,2016,23-90,Non-Residential,Financial Office,"Financial Office (29577.0),Parking (9411.0)",29577,,East Cambridge Savings Bank,,85,419200,1430310.4,9126.0014,912600.1,,,,,,,,,,2342910.6,,79.2,,5449404.9,,184.2,,170.7,5.8
B1550,2016,162-54,Non-Residential,Restaurant,Other - Mall (14506.0),14506,,CRIMSON GALERIA LIMITED PARTNERSHIP,C/O RAJ DHANDA,,,,,,,,,,,,,,,,,,,,,,,0,0
B1551,2016,267D-340,Non-Residential,K-12 School,"K-12 School (27000.0),Parking (4000.0)",27000,,The Fayerweather Street School,,35,192374.1,656380.7,26278.1,2627806.4,,,,,,,,,,3284187.1,3459532.3,121.6,128.1,4597062.6,4781175.1,170.3,177.1,188.8,7
B1552,2016,170-4,Non-Residential,Worship Facility,Worship Facility (5000.0),5000,,FIRST CHURCH IN CAMBRIDGE CONGREGATIONAL,,,128291.6,437730.9,,,,,,,,,,,,,,,,,,,,,
B1553,2016,265C-25,Non-Residential,Strip Mall,"Strip Mall (207440.0),Repair Services (Vehicle, Shoe, Locksmith, etc.) (5000.0),Office (37500.0),Movie Theater (17500.0)",267440,,THE FRESH POND MALL LIMITED PARTNERSHIP,,,5419021.1,18489702.2,144505.6,14450557.7,,,,,,,,,,32940260,33449501.5,123.2,125.1,66944251.9,67129799.3,250.3,251,0,0
B1555,2016,27-86,Non-Residential,Other,Data Center (5600.0),5600,,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,103038.1,351566,500.4667,50046.7,,,,,,,,,,351566,351566,62.8,62.8,984384.8,984384.8,175.8,175.8,26.3,4.7
B1556,2016,33-88,Non-Residential,Data Center,Data Center (30520.0),30520,,"Laverty, Charles R., Jr. & Paul Lohnes,",Trs. Of The Pay Phone Realty Trust,,3832527.7,13076586.1,,,,,,,,,,,,13076586.1,13053505.8,428.5,427.7,36614441.1,36549816.3,1199.7,1197.6,979.9,32.1
B1557,2016,27-86,Non-Residential,Data Center,Data Center (28100.0),28100,,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,7981189.1,27231820.6,504.1,50405.3,,,,,,,,,,27282225.9,27289159.9,970.9,971.1,76302023.1,76309303.8,2715.4,2715.6,2043.4,72.7
B1558,2016,31-21,Non-Residential,Data Center,Data Center (90000.0),90000,,"Lohnes, Trustee Paul R.",C.E.M. Realty Trust,,28190.6,96186.4,,,,,,,,,,,,96186.4,97168.8,1.1,1.1,269321.8,272072.7,3,3,7.2,0.1
B1559,2016,27-70,Non-Residential,Other - Technology/Science,Other - Technology/Science (28600.0),28600,,Bass Rocks Realty Llc,,,170689.5,582392.6,9589.9,958992.2,,,,,,,,,,1541384.8,1614563.4,53.9,56.5,2637641.1,2714478.6,92.2,94.9,94.6,3.3
B1560,2016,27-86,Non-Residential,Other,Data Center (7140.0),7140,,"Lohnes, Paul R., Tr. Of The Alexander",Graham Bell Trust,,1277206.1,4357827.6,,,,,,,,,,,,4357827.6,4357827.6,610.3,610.3,12201917.4,12201917.4,1709,1709,326.6,45.7
B1562,2016,27-99,Non-Residential,K-12 School,K-12 School (60000.0),60000,,"LOHNES, PAUL R., TRUSTEE OF",THE 255 BENT ST. REALTY TRUST,,,,,,,,,,,,,,,,,,,,,,,0,0
